Id,Date,Message,Description,EntryDateTime,Status,NumberOfExchangeRates,NumberOfCrossRates
1,2005-01-01 00:00:00,First day of the year,,2021-11-06 02:22:00.5746162,0,0,0
2,2005-01-02 00:00:00,Weekend,,2021-11-06 02:22:00.7121822,0,0,0
3,2005-01-03 00:00:00,,,2021-11-06 02:22:00.7269607,1,18,11
4,2005-01-04 00:00:00,,,2021-11-06 02:22:01.7723893,1,18,11
5,2005-01-05 00:00:00,,,2021-11-06 02:22:02.2191893,1,18,11
6,2005-01-06 00:00:00,,,2021-11-06 02:22:02.6712479,1,18,11
7,2005-01-07 00:00:00,,,2021-11-06 02:22:03.1255989,1,18,11
8,2005-01-08 00:00:00,Weekend,,2021-11-06 02:22:03.5645158,0,0,0
9,2005-01-09 00:00:00,Weekend,,2021-11-06 02:22:03.5751897,0,0,0
10,2005-01-10 00:00:00,,,2021-11-06 02:22:03.5859437,1,18,11
11,2005-01-11 00:00:00,,,2021-11-06 02:22:04.0030434,1,18,11
12,2005-01-12 00:00:00,,,2021-11-06 02:22:04.4546743,1,18,11
13,2005-01-13 00:00:00,,,2021-11-06 02:22:04.9248108,1,18,11
14,2005-01-14 00:00:00,,,2021-11-06 02:22:05.3953516,1,18,11
15,2005-01-15 00:00:00,Weekend,,2021-11-06 02:22:05.8171088,0,0,0
16,2005-01-16 00:00:00,Weekend,,2021-11-06 02:22:05.8305502,0,0,0
17,2005-01-17 00:00:00,,,2021-11-06 02:22:05.8442689,1,18,11
18,2005-01-18 00:00:00,,,2021-11-06 02:22:06.2506401,1,18,11
19,2005-01-19 00:00:00,No data exists,The remote server returned an error: (404) Not Found.,2021-11-06 02:22:06.7095375,0,0,0
20,2005-01-20 00:00:00,No data exists,The remote server returned an error: (404) Not Found.,2021-11-06 02:22:06.9056113,0,0,0
21,2005-01-21 00:00:00,No data exists,The remote server returned an error: (404) Not Found.,2021-11-06 02:22:07.0823798,0,0,0
22,2005-01-22 00:00:00,Weekend,,2021-11-06 02:22:07.2690715,0,0,0
23,2005-01-23 00:00:00,Weekend,,2021-11-06 02:22:07.2839351,0,0,0
24,2005-01-24 00:00:00,,,2021-11-06 02:22:07.296821,1,18,11
25,2005-01-25 00:00:00,,,2021-11-06 02:22:07.7494163,1,18,11
26,2005-01-26 00:00:00,,,2021-11-06 02:22:08.1976661,1,18,11
27,2005-01-27 00:00:00,,,2021-11-06 02:22:08.6006447,1,18,11
28,2005-01-28 00:00:00,,,2021-11-06 02:22:09.0120507,1,18,11
29,2005-01-29 00:00:00,Weekend,,2021-11-06 02:22:09.4555391,0,0,0
30,2005-01-30 00:00:00,Weekend,,2021-11-06 02:22:09.4694722,0,0,0
31,2005-01-31 00:00:00,,,2021-11-06 02:22:09.4840162,1,18,11
32,2005-02-01 00:00:00,,,2021-11-06 02:22:09.9362234,1,18,11
33,2005-02-02 00:00:00,,,2021-11-06 02:22:20.3427454,1,18,11
34,2005-02-03 00:00:00,,,2021-11-06 02:22:20.7493401,1,18,11
35,2005-02-04 00:00:00,,,2021-11-06 02:22:21.1649688,1,18,11
36,2005-02-05 00:00:00,Weekend,,2021-11-06 02:22:21.5999226,0,0,0
37,2005-02-06 00:00:00,Weekend,,2021-11-06 02:22:21.6188114,0,0,0
38,2005-02-07 00:00:00,,,2021-11-06 02:22:21.6326601,1,18,11
39,2005-02-08 00:00:00,,,2021-11-06 02:22:22.0288215,1,18,11
40,2005-02-09 00:00:00,,,2021-11-06 02:22:22.3987883,1,18,11
41,2005-02-10 00:00:00,,,2021-11-06 02:22:22.8222777,1,18,11
42,2005-02-11 00:00:00,,,2021-11-06 02:22:23.2184828,1,18,11
43,2005-02-12 00:00:00,Weekend,,2021-11-06 02:22:23.6150648,0,0,0
44,2005-02-13 00:00:00,Weekend,,2021-11-06 02:22:23.6267038,0,0,0
45,2005-02-14 00:00:00,,,2021-11-06 02:22:23.6385398,1,18,11
46,2005-02-15 00:00:00,,,2021-11-06 02:22:24.0361415,1,18,11
47,2005-02-16 00:00:00,,,2021-11-06 02:22:24.4731611,1,18,11
48,2005-02-17 00:00:00,,,2021-11-06 02:22:24.8999214,1,18,11
49,2005-02-18 00:00:00,,,2021-11-06 02:22:25.3127057,1,18,11
50,2005-02-19 00:00:00,Weekend,,2021-11-06 02:22:25.7435399,0,0,0
51,2005-02-20 00:00:00,Weekend,,2021-11-06 02:22:25.7564572,0,0,0
52,2005-02-21 00:00:00,,,2021-11-06 02:22:25.7697079,1,18,11
53,2005-02-22 00:00:00,,,2021-11-06 02:22:26.1882086,1,18,11
54,2005-02-23 00:00:00,,,2021-11-06 02:22:26.6429386,1,18,11
55,2005-02-24 00:00:00,,,2021-11-06 02:22:27.1017987,1,18,11
56,2005-02-25 00:00:00,,,2021-11-06 02:22:27.5841286,1,18,11
57,2005-02-26 00:00:00,Weekend,,2021-11-06 02:22:28.0562601,0,0,0
58,2005-02-27 00:00:00,Weekend,,2021-11-06 02:22:28.0711657,0,0,0
59,2005-02-28 00:00:00,,,2021-11-06 02:22:28.0865301,1,18,11
60,2005-03-01 00:00:00,,,2021-11-06 02:22:28.5426252,1,18,11
61,2005-03-02 00:00:00,,,2021-11-06 02:22:39.0370303,1,18,11
62,2005-03-03 00:00:00,,,2021-11-06 02:22:39.5248296,1,18,11
63,2005-03-04 00:00:00,,,2021-11-06 02:22:40.0490278,1,18,11
64,2005-03-05 00:00:00,Weekend,,2021-11-06 02:22:40.5587561,0,0,0
65,2005-03-06 00:00:00,Weekend,,2021-11-06 02:22:40.5720089,0,0,0
66,2005-03-07 00:00:00,,,2021-11-06 02:22:40.5889478,1,18,11
67,2005-03-08 00:00:00,,,2021-11-06 02:22:41.1049997,1,18,11
68,2005-03-09 00:00:00,,,2021-11-06 02:22:41.6659645,1,18,11
69,2005-03-10 00:00:00,,,2021-11-06 02:22:42.2052477,1,18,11
70,2005-03-11 00:00:00,,,2021-11-06 02:22:42.7254798,1,18,11
71,2005-03-12 00:00:00,Weekend,,2021-11-06 02:22:43.2449576,0,0,0
72,2005-03-13 00:00:00,Weekend,,2021-11-06 02:22:43.2618545,0,0,0
73,2005-03-14 00:00:00,,,2021-11-06 02:22:43.2798236,1,18,11
74,2005-03-15 00:00:00,,,2021-11-06 02:22:43.8284745,1,18,11
75,2005-03-16 00:00:00,,,2021-11-06 02:22:44.393688,1,18,11
76,2005-03-17 00:00:00,,,2021-11-06 02:22:44.9753498,1,18,11
77,2005-03-18 00:00:00,,,2021-11-06 02:22:45.5056321,1,18,11
78,2005-03-19 00:00:00,Weekend,,2021-11-06 02:22:46.0963156,0,0,0
79,2005-03-20 00:00:00,Weekend,,2021-11-06 02:22:46.1143256,0,0,0
80,2005-03-21 00:00:00,,,2021-11-06 02:22:46.134948,1,18,11
81,2005-03-22 00:00:00,,,2021-11-06 02:22:46.735895,1,18,11
82,2005-03-23 00:00:00,,,2021-11-06 02:22:47.2779951,1,18,11
83,2005-03-24 00:00:00,,,2021-11-06 02:22:47.8614949,1,18,11
84,2005-03-25 00:00:00,,,2021-11-06 02:22:48.4649331,1,18,11
85,2005-03-26 00:00:00,Weekend,,2021-11-06 02:22:49.0334527,0,0,0
86,2005-03-27 00:00:00,Weekend,,2021-11-06 02:22:49.0527881,0,0,0
87,2005-03-28 00:00:00,,,2021-11-06 02:22:49.0715844,1,18,11
88,2005-03-29 00:00:00,,,2021-11-06 02:22:49.7051903,1,18,11
89,2005-03-30 00:00:00,,,2021-11-06 02:22:50.353256,1,18,11
90,2005-03-31 00:00:00,,,2021-11-06 02:22:51.0091817,1,18,11
91,2005-04-01 00:00:00,,,2021-11-06 02:22:51.6658958,1,18,11
92,2005-04-02 00:00:00,Weekend,,2021-11-06 02:23:02.3681622,0,0,0
93,2005-04-03 00:00:00,Weekend,,2021-11-06 02:23:02.3921188,0,0,0
94,2005-04-04 00:00:00,,,2021-11-06 02:23:02.4137758,1,18,11
95,2005-04-05 00:00:00,,,2021-11-06 02:23:03.1453853,1,18,11
96,2005-04-06 00:00:00,,,2021-11-06 02:23:03.9188091,1,18,11
97,2005-04-07 00:00:00,,,2021-11-06 02:23:04.6485697,1,18,11
98,2005-04-08 00:00:00,,,2021-11-06 02:23:05.3638178,1,18,11
99,2005-04-09 00:00:00,Weekend,,2021-11-06 02:23:06.0997812,0,0,0
100,2005-04-10 00:00:00,Weekend,,2021-11-06 02:23:06.148701,0,0,0
101,2005-04-11 00:00:00,,,2021-11-06 02:23:06.1723049,1,18,11
102,2005-04-12 00:00:00,,,2021-11-06 02:23:06.938504,1,18,11
103,2005-04-13 00:00:00,,,2021-11-06 02:23:07.7295704,1,18,11
104,2005-04-14 00:00:00,,,2021-11-06 02:23:08.5252572,1,18,11
105,2005-04-15 00:00:00,,,2021-11-06 02:23:09.2707375,1,18,11
106,2005-04-16 00:00:00,Weekend,,2021-11-06 02:23:10.1119243,0,0,0
107,2005-04-17 00:00:00,Weekend,,2021-11-06 02:23:10.1409891,0,0,0
108,2005-04-18 00:00:00,,,2021-11-06 02:23:10.1703995,1,18,11
